Food,price_per_100g
"Papaya, fresh ",0.01798853566365809
Watermelon,0.0894692620240216
low-fat milk,0.1008345199066944
whole milk ,0.11105798315109855
white flour,0.119049718689924
Bananas,0.13439274546288293
"Pineapple, fresh ",0.14736305622674123
"Cantaloupe, fresh ",0.17458953751388914
green cabbage ,0.18223425457239106
white sugar ,0.18959770013580488
"Potatoes, fresh ",0.20316588453940984
Apple juice ,0.20968514964990564
rice long grain ,0.21384856875782643
"carrots, whole, fresh ",0.221785216670488
"Onions, fresh ",0.23417659592761775
"Cucumbers, fresh ",0.24093202305155292
"Potatoes, canned",0.24333398318312494
Grape juice ,0.2544076183001464
Orange juice,0.254608186211397
"Sweet potatoes, fresh ",0.25675640729995236
"Great northern beans, canned",0.2573350751336002
"Green beans, canned",0.2607923027742994
"Kidney beans, canned ",0.26453734258981637
applesauce,0.2663405498774229
"Tomatoes, canned ",0.2663538435422142
"Pinto beans, canned ",0.2672231432653134
"corn, canned ",0.26869521508315847
"Grapefruit, juice",0.2688246684244872
"Navy beans, canned",0.27215186180532286
"Tomatoes, Roma and plum",0.27227267478262407
acorn squash ,0.2735938905448068
Honeydew,0.275589690073899
"beets, canned ",0.27734175205911926
red cabbage ,0.27800313938517435
butternut squash,0.2801857175611563
"black beans, canned",0.28799008800860687
"carrots, canned",0.29101042346425865
"cauliflower, frozen ",0.292730030512002
Pineapple juice,0.30294993981375334
Grapefruit,0.3077161233002346
"Turnip greens, canned ",0.3080837300922415
"Mustard greens, canned",0.31187866915642254
"collard greens, fresh ",0.3122189103864266
"blackeye peas, canned",0.31324406074181205
"Green peas, canned",0.3134742843789132
Oranges,0.3174006631510256
"Mangoes, fresh ",0.32158321972168824
spaghetti ,0.32518210197710723
"Lettuce, iceberg",0.3259286784158451
"Pinto beans, dried ",0.33123142449602283
Green peppers,0.33142881466163426
"Clementines, fresh ",0.34955934848939135
canned mixed vegetables: peas and carrots,0.3556798810384663
"Lima beans, canned",0.3587070753011517
"sauerkraut, canned ",0.3593537804899557
"Zucchini, fresh ",0.3613547386197288
"black beans, dried",0.36563696008747953
"Spinach, canned ",0.36836452274290554
Red bell peppers,0.37593990789079174
"Navy beans, dried",0.37607497222173236
"Pineapple, canned in juice",0.3795185578669818
Plum (prune) juice ,0.3956899806433976
"corn, frozen ",0.4023439566835394
"Pineapple, canned in syrup",0.4029115306266424
Radish,0.40807084979452907
Apples,0.41026538166457965
"chicken legs, bone-in",0.412044304132348
"Great northern beans, dried",0.41289021168803686
white bread,0.4162330905306971
"Pears, fresh ",0.42256905412793877
"frozen mixed vegetables: carrots, peas, corn, and green beans",0.42312593013104294
Lentils,0.43159873564789497
"Kidney beans, dried",0.4401164085786345
frozen mixed vegetables: peas and carrots,0.4539023893719466
"Pumpkin, canned",0.45875771376038377
"corn, fresh ",0.4635663768320429
"Apricots, canned",0.46468127369971257
cauliflower florets ,0.46835041182384174
"blackeye peas, dried ",0.46870315173107113
"Tomatoes, large round",0.47232088550944473
"Green beans, frozen ",0.47914067355685297
"Green peas, frozen ",0.4830372169262244
"Peaches, canned in syrup ",0.4876301138468051
Grapes,0.4956958222367238
avacado ,0.49868604384557047
"Kale, frozen ",0.5027720484488263
"Fruit cocktail, in syrup or water",0.5098717232667244
"Pears, canned in syrup ",0.5108033810120108
"Pears, canned in juice",0.5134654191431948
"frozen mixed vegetables: broccoli, cauliflower, and carrots",0.5234493416991481
"Lettuce, romaine, heads",0.5375983196352669
whole wheat bread ,0.5403534453870439
"Peaches, fresh ",0.5416981423834636
"Spinach, frozen ",0.544315633212226
Nectarines,0.5457120368084093
"Pomegranate, fresh ",0.5457718365844195
"Peach, canned in juice",0.5482367570415705
"artichoke, fresh ",0.5522584172560362
"Potatoes, french fries",0.5557651671546235
"broccoli, frozen ",0.5671396320922767
celery ,0.5842695638371047
"Fruit cocktail, in juice",0.5843425294096897
"Okra, frozen ",0.5848538616201344
"Lima beans, dried",0.5851751719607048
"Plum, fresh ",0.5860383419460661
"Green beans, fresh",0.5862515196476128
"Apples, frozen juice concentrate",0.5882674674597436
cauliflower heads  ,0.599459426092171
"collard greens, frozen ",0.6005176458138591
Kiwi,0.6249465160320289
"Lima beans, frozen ",0.624975294758285
"brussels sprouts, frozen ",0.6360341452230198
"Turnip greens, fresh ",0.643703948702799
"Mustard greens, frozen",0.6437918159932274
"yogurt, whole-fat plain ",0.6508051288382511
"broccoli heads, fresh ",0.6665792165646661
"Lettuce, romaine, hearts",0.6678402630557858
"Pineapple, frozen juice concentrate",0.669995697675444
"brussels sprouts, fresh ",0.6700955925148592
"Strawberries, fresh ",0.6787452959928747
"broccoli florets, fresh ",0.6796857087426587
Pomegranate juice,0.7027083030564912
"asparagus, fresh ",0.7081253637630294
"Grapes, frozen juice concentrate",0.7265884587911603
"Strawberries, frozen ",0.7644550719589411
"artichoke, canned",0.772720859274414
"Kale, fresh ",0.7872986538563291
grade A eggs ,0.8038333333333335
"Cherries, fresh ",0.8068712062822978
"asparagus, canned",0.8104199368595567
"Peaches, frozen ",0.8288910878057814
"Apricots, fresh ",0.838580006040671
"carrots, frozen ",0.8755224959875836
"Mushrooms, pre-sliced",0.8832312457009824
"Mushrooms, whole",0.9159160150531755
"Tomatoes, grape and cherry",0.9161442465916507
"Blueberries, frozen ",0.9257792939469831
"chicken breast, boneless ",0.9512954373093001
raisins,0.9542372843877317
"Berries, mixed, frozen ",0.9807093493712411
"Spinach, fresh ",0.992173741600381
pork chops ,1.0081747473500415
ground chuck beef ,1.0238275807333463
"Blackberries, frozen ",1.037458152701106
american cheese ,1.0414645760948167
ground beef ,1.056235559710048
"butter, stick ",1.07629764193372
"Blueberries, fresh ",1.1315175523377838
"Cranberries, dried ",1.1604875326284414
ham,1.2090160320287835
chocolate chip cookie ,1.2143071306372246
"Okra, fresh ",1.252295923649447
"Dates, dried",1.2980522385756363
cheddar cheese ,1.310869680241274
"Olives, canned",1.320350296742447
"Raspberries, frozen ",1.3689860143036032
potato chip ,1.3752447133106405
"Cherries, canned ",1.3907463665584934
ground coffee ,1.4017002063528456
lean ground beef ,1.409416391823489
stew beef ,1.4931921197904725
"asparagus, frozen",1.4947353568846011
bacon,1.5009083052611158
"Blackberries, fresh ",1.5067436749325385
"Plum (prunes), dried",1.5226017661246232
"steak, round",1.603202878357643
"Pineapple, dried",1.752228187005062
"Raspberries, fresh ",1.756370158424311
"Figs, dried ",1.774514323885783
"Papaya, dried",1.8022004695850014
"Apricots, dried",1.9035352675973123
"Mangoes, dried",2.228805898252174
"steak, sirloin",2.2736291645355298
"ice cream, regular, bulk ",2.5613326513695127
"Orange, frozen juice concentrate",11.998175597453217
